A,,,,,,,,,,,
A,A'B,,,,,,,,,,
A,A'B,B,,,,,,,,,
A,A'B,B,B1,,,,,,,,
A,A'B,A'C,,,,,,,,,
A,A'B,A'C,C,,,,,,,,
A,A'B,A'C,C,C1,,,,,,,
A,A'B,A'C,C,C2,,,,,,,
A,A'B,A'C,A'D,,,,,,,,
A,A'B,A'C,A'D,D,,,,,,,
A,A'B,A'C,A'D,A'I,E'I,,,,,,
A,A'B,A'C,A'D,A'I,E'I,E'G,,,,,
A,A'B,A'C,A'D,A'I,E'I,E'G,E,,,,
A,A'B,A'C,A'D,A'I,E'I,E'G,F'G,,,,
A,A'B,A'C,A'D,A'I,E'I,E'G,F'G,F,,,
A,A'B,A'C,A'D,A'I,E'I,E'G,F'G,G,,,
A,A'B,A'C,A'D,A'I,E'I,E'G,F'G,G,G1,,
A,A'B,A'C,A'D,A'I,E'I,E'G,F'G,G,G2,,
A,A'B,A'C,A'D,A'I,E'I,E'G,F'G,G,G3,,
A,A'B,A'C,A'D,A'I,E'I,H'I,,,,,
A,A'B,A'C,A'D,A'I,E'I,H'I,H,,,,
A,A'B,A'C,A'D,A'I,E'I,H'I,I,,,,
A,A'B,A'C,A'D,A'I,E'I,H'I,I,I1,,,
A,A'B,A'C,A'D,A'I,,,,,,,
A,A'B,A'C,A'D,A'I,A'K,J'K,,,,,
A,A'B,A'C,A'D,A'I,A'K,J'K,J,,,,
A,A'B,A'C,A'D,A'I,A'K,J'K,K,,,,
A,A'B,A'C,A'D,A'I,A'K,,,,,,
A,A'B,A'C,A'D,A'I,A'K,S,,,,,
A,A'B,A'C,A'D,A'I,A'K,A'L,,,,,
A,A'B,A'C,A'D,A'I,A'K,A'L,L,,,,
A,A'B,A'C,A'D,A'I,A'K,A'L,L,L1,,,
A,A'B,A'C,A'D,A'I,A'K,A'L,L,L2,,,
A,A'B,A'C,A'D,A'I,A'K,A'L,L,L3,,,
A,A'B,A'C,A'D,A'I,A'K,A'L,A'Q,,,,
A,A'B,A'C,A'D,A'I,A'K,A'L,A'Q,M'Q,,,
A,A'B,A'C,A'D,A'I,A'K,A'L,A'Q,M'Q,X,,
A,A'B,A'C,A'D,A'I,A'K,A'L,A'Q,M'Q,M'N,,
A,A'B,A'C,A'D,A'I,A'K,A'L,A'Q,M'Q,M'N,M,
A,A'B,A'C,A'D,A'I,A'K,A'L,A'Q,M'Q,M'N,N,
A,A'B,A'C,A'D,A'I,A'K,A'L,A'Q,M'Q,O'Q,,
A,A'B,A'C,A'D,A'I,A'K,A'L,A'Q,M'Q,O'Q,O'P,
A,A'B,A'C,A'D,A'I,A'K,A'L,A'Q,M'Q,O'Q,O'P,O
A,A'B,A'C,A'D,A'I,A'K,A'L,A'Q,M'Q,O'Q,O'P,P
A,A'B,A'C,A'D,A'I,A'K,A'L,A'Q,M'Q,O'Q,Q,
A,A'B,A'C,A'D,A'I,A'K,A'L,A'Q,M'Q,O'Q,Q,Q2
A,A'B,A'C,A'D,A'I,A'K,A'L,A'Q,M'Q,O'Q,Q,Q3
A,A'B,A'C,A'D,A'I,A'K,A'L,A'Q,AMM,,,
A,A'B,A'C,A'D,A'I,A'K,A'L,A'Q,AMM,R,,
